Timestamp,Token,Symbol,Action,Price,Quantity,SL,TP,PNL,Reason,DailyPNL
2025-05-26 09:16:04,58568,BANKNIFTY29MAY2555400PE,BUY,306.00,30,362.28,212.21,N/A,BB_RSI_Breakout_PE,0.00
2025-05-26 09:16:04,58566,BANKNIFTY29MAY2555300PE,BUY,273.50,30,324.31,188.82,N/A,BB_RSI_Breakout_PE,0.00
2025-05-26 09:16:04,108615,ITC29MAY25435PE,BUY,5.00,1600,6.11,3.14,N/A,BB_RSI_Breakout_PE,0.00
2025-05-26 09:16:04,87326,HDFCBANK29MAY251920PE,BUY,6.70,550,8.49,3.72,N/A,BB_RSI_Breakout_PE,0.00
2025-05-26 09:16:04,121888,SBIN29MAY25780PE,BUY,1.75,750,2.30,0.84,N/A,BB_RSI_Breakout_PE,0.00
2025-05-26 09:16:06,99985,KOTAKBANK29MAY252080PE,BUY,6.80,400,8.58,3.83,N/A,BB_RSI_Breakout_PE,0.00
2025-05-26 09:16:06,112091,KOTAKBANK29MAY252100PE,BUY,12.85,400,15.67,8.14,N/A,BB_RSI_Breakout_PE,0.00
2025-05-26 09:17:33,108615,ITC29MAY25435PE,SELL,6.25,1600,N/A,N/A,-2000.00,StopLoss Hit (PE),-2000.00
2025-05-26 09:19:26,112091,KOTAKBANK29MAY252100PE,SELL,15.70,400,N/A,N/A,-1140.00,StopLoss Hit (PE),-3140.00
2025-05-26 09:21:13,108615,ITC29MAY25435PE,BUY,5.30,1600,6.41,3.44,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:21:54,112091,KOTAKBANK29MAY252100PE,BUY,12.80,400,15.62,8.09,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:00,99690,ICICIBANK29MAY251450CE,BUY,22.60,700,19.56,27.66,N/A,BB_RSI_Breakout_CE,-3140.00
2025-05-26 09:30:00,70940,AXISBANK29MAY251210CE,BUY,17.45,625,15.13,21.32,N/A,BB_RSI_Breakout_CE,-3140.00
2025-05-26 09:30:00,69296,AXISBANK29MAY251220CE,BUY,11.85,625,10.15,14.69,N/A,BB_RSI_Breakout_CE,-3140.00
2025-05-26 09:30:00,90475,ICICIBANK29MAY251440PE,BUY,2.60,700,4.26,0.10,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:00,90476,ICICIBANK29MAY251460CE,BUY,15.35,700,13.06,19.16,N/A,BB_RSI_Breakout_CE,-3140.00
2025-05-26 09:30:00,114712,LT29MAY253620CE,BUY,46.80,150,39.20,59.46,N/A,BB_RSI_Breakout_CE,-3140.00
2025-05-26 09:30:00,87327,HDFCBANK29MAY251960CE,BUY,10.35,550,8.74,13.04,N/A,BB_RSI_Breakout_CE,-3140.00
2025-05-26 09:30:00,93802,HDFCBANK29MAY251940PE,BUY,11.60,550,14.83,6.22,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:00,61727,NIFTY29MAY2524850CE,BUY,344.05,75,294.58,426.51,N/A,BB_RSI_Breakout_CE,-3140.00
2025-05-26 09:30:00,61750,NIFTY29MAY2524850PE,BUY,115.20,75,148.40,59.86,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:00,93801,HDFCBANK29MAY251940CE,BUY,20.75,550,17.90,25.50,N/A,BB_RSI_Breakout_CE,-3140.00
2025-05-26 09:30:00,101860,LT29MAY253600CE,BUY,59.00,150,49.66,74.56,N/A,BB_RSI_Breakout_CE,-3140.00
2025-05-26 09:30:00,61726,NIFTY29MAY2524800PE,BUY,100.40,75,130.45,50.32,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:00,58569,BANKNIFTY29MAY2555500CE,BUY,730.90,30,640.02,882.37,N/A,BB_RSI_Breakout_CE,-3140.00
2025-05-26 09:30:00,58567,BANKNIFTY29MAY2555400CE,BUY,796.50,30,700.11,957.14,N/A,BB_RSI_Breakout_CE,-3140.00
2025-05-26 09:30:00,143531,TCS29MAY253520PE,BUY,27.45,175,34.22,16.17,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:00,131755,TCS29MAY253500PE,BUY,19.30,175,25.31,9.29,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:01,61751,NIFTY29MAY2524900CE,BUY,309.45,75,262.66,387.43,N/A,BB_RSI_Breakout_CE,-3140.00
2025-05-26 09:30:01,136170,SBIN29MAY25790PE,BUY,4.25,750,5.42,2.30,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:01,101861,LT29MAY253600PE,BUY,15.45,150,23.17,2.58,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:01,99691,ICICIBANK29MAY251450PE,BUY,4.15,700,6.42,0.37,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:01,114710,LT29MAY253580PE,BUY,10.80,150,16.90,0.64,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:02,70941,AXISBANK29MAY251210PE,BUY,6.50,625,8.69,2.86,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:02,69295,AXISBANK29MAY251200PE,BUY,3.80,625,5.49,0.99,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:03,89759,HINDUNILVR29MAY252360CE,BUY,28.70,300,24.71,35.34,N/A,BB_RSI_Breakout_CE,-3140.00
2025-05-26 09:30:03,89763,HINDUNILVR29MAY252360PE,BUY,11.25,300,15.10,4.83,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:03,97905,HINDUNILVR29MAY252340PE,BUY,6.15,300,8.75,1.81,N/A,BB_RSI_Breakout_PE,-3140.00
2025-05-26 09:30:04,97906,HINDUNILVR29MAY252380CE,BUY,17.50,300,14.84,21.93,N/A,BB_RSI_Breakout_CE,-3140.00
2025-05-26 09:35:57,112091,KOTAKBANK29MAY252100PE,SELL,15.85,400,N/A,N/A,-1220.00,StopLoss Hit (PE),-4360.00
2025-05-26 09:36:06,99985,KOTAKBANK29MAY252080PE,SELL,8.65,400,N/A,N/A,-740.00,StopLoss Hit (PE),-5100.00
2025-05-26 09:44:52,114712,LT29MAY253620CE,SELL,60.30,150,N/A,N/A,2025.00,TakeProfit Hit (CE),-3075.00
2025-05-26 09:44:52,114712,LT29MAY253620CE,BUY,60.30,150,52.70,72.96,N/A,BB_RSI_Breakout_CE,-3075.00
2025-05-26 09:45:01,101860,LT29MAY253600CE,SELL,74.90,150,N/A,N/A,2385.00,TakeProfit Hit (CE),-690.00
2025-05-26 09:45:02,101860,LT29MAY253600CE,BUY,74.85,150,64.50,92.10,N/A,BB_RSI_Breakout_CE,-690.00
2025-05-26 10:00:16,105760,INFY29MAY251540PE,BUY,4.20,400,5.53,1.99,N/A,BB_RSI_Breakout_PE,-690.00
2025-05-26 10:13:14,114712,LT29MAY253620CE,SELL,52.00,150,N/A,N/A,-1245.00,StopLoss Hit (CE),-1935.00
2025-05-26 10:13:25,101860,LT29MAY253600CE,SELL,63.95,150,N/A,N/A,-1635.00,StopLoss Hit (CE),-3570.00
2025-05-26 10:15:00,95144,INFY29MAY251560PE,BUY,7.85,400,10.27,3.82,N/A,BB_RSI_Breakout_PE,-3570.00
2025-05-26 10:19:35,87327,HDFCBANK29MAY251960CE,SELL,8.70,550,N/A,N/A,-907.50,StopLoss Hit (CE),-4477.50
2025-05-26 10:20:29,58569,BANKNIFTY29MAY2555500CE,SELL,640.00,30,N/A,N/A,-2727.00,StopLoss Hit (CE),-7204.50
2025-05-26 10:20:32,58567,BANKNIFTY29MAY2555400CE,SELL,700.00,30,N/A,N/A,-2895.00,StopLoss Hit (CE),-10099.50
2025-05-26 10:20:34,93801,HDFCBANK29MAY251940CE,SELL,17.90,550,N/A,N/A,-1567.50,StopLoss Hit (CE),-11667.00
2025-05-26 10:20:35,69296,AXISBANK29MAY251220CE,SELL,10.10,625,N/A,N/A,-1093.75,StopLoss Hit (CE),-12760.75
2025-05-26 10:20:55,58566,BANKNIFTY29MAY2555300PE,SELL,324.95,30,N/A,N/A,-1543.50,StopLoss Hit (PE),-14304.25
2025-05-26 10:22:01,58568,BANKNIFTY29MAY2555400PE,SELL,362.70,30,N/A,N/A,-1701.00,StopLoss Hit (PE),-16005.25
2025-05-26 10:25:50,70940,AXISBANK29MAY251210CE,SELL,15.00,625,N/A,N/A,-1531.25,StopLoss Hit (CE),-17536.50
2025-05-26 10:26:24,90476,ICICIBANK29MAY251460CE,SELL,13.00,700,N/A,N/A,-1645.00,StopLoss Hit (CE),-19181.50
2025-05-26 10:26:24,136170,SBIN29MAY25790PE,SELL,5.45,750,N/A,N/A,-900.00,StopLoss Hit (PE),-20081.50
2025-05-26 10:26:27,99690,ICICIBANK29MAY251450CE,SELL,19.50,700,N/A,N/A,-2170.00,StopLoss Hit (CE),-22251.50
2025-05-26 10:26:33,93802,HDFCBANK29MAY251940PE,SELL,14.90,550,N/A,N/A,-1815.00,StopLoss Hit (PE),-24066.50
2025-05-26 10:27:00,70941,AXISBANK29MAY251210PE,SELL,8.75,625,N/A,N/A,-1406.25,StopLoss Hit (PE),-25472.75
2025-05-26 10:27:03,61751,NIFTY29MAY2524900CE,SELL,262.50,75,N/A,N/A,-3521.25,StopLoss Hit (CE),-28994.00
2025-05-26 10:27:03,61727,NIFTY29MAY2524850CE,SELL,292.95,75,N/A,N/A,-3832.50,StopLoss Hit (CE),-32826.50
2025-05-26 10:27:04,61750,NIFTY29MAY2524850PE,SELL,148.85,75,N/A,N/A,-2523.75,StopLoss Hit (PE),-35350.25
2025-05-26 10:27:04,61726,NIFTY29MAY2524800PE,SELL,130.90,75,N/A,N/A,-2287.50,StopLoss Hit (PE),-37637.75
2025-05-26 10:27:06,121888,SBIN29MAY25780PE,SELL,2.30,750,N/A,N/A,-412.50,StopLoss Hit (PE),-38050.25
2025-05-26 10:27:11,69295,AXISBANK29MAY251200PE,SELL,5.55,625,N/A,N/A,-1093.75,StopLoss Hit (PE),-39144.00
2025-05-26 10:27:14,87326,HDFCBANK29MAY251920PE,SELL,8.55,550,N/A,N/A,-1017.50,StopLoss Hit (PE),-40161.50
2025-05-26 10:34:00,95144,INFY29MAY251560PE,SELL,10.30,400,N/A,N/A,-980.00,StopLoss Hit (PE),-41141.50
2025-05-26 10:35:22,108615,ITC29MAY25435PE,SELL,6.50,1600,N/A,N/A,-1920.00,StopLoss Hit (PE),-43061.50
2025-05-26 10:35:47,99691,ICICIBANK29MAY251450PE,SELL,6.45,700,N/A,N/A,-1610.00,StopLoss Hit (PE),-44671.50
2025-05-26 10:36:25,90475,ICICIBANK29MAY251440PE,SELL,4.30,700,N/A,N/A,-1190.00,StopLoss Hit (PE),-45861.50
2025-05-26 10:43:55,97906,HINDUNILVR29MAY252380CE,SELL,21.95,300,N/A,N/A,1335.00,TakeProfit Hit (CE),-44526.50
2025-05-26 10:43:56,89759,HINDUNILVR29MAY252360CE,SELL,35.95,300,N/A,N/A,2175.00,TakeProfit Hit (CE),-42351.50
2025-05-26 15:30:01,143531,TCS29MAY253520PE,SELL,21.65,175,N/A,N/A,1015.00,EOD Square Off,-41336.50
2025-05-26 15:30:01,131755,TCS29MAY253500PE,SELL,15.30,175,N/A,N/A,700.00,EOD Square Off,-40636.50
2025-05-26 15:30:01,101861,LT29MAY253600PE,SELL,10.20,150,N/A,N/A,787.50,EOD Square Off,-39849.00
2025-05-26 15:30:01,114710,LT29MAY253580PE,SELL,6.45,150,N/A,N/A,652.50,EOD Square Off,-39196.50
2025-05-26 15:30:02,89763,HINDUNILVR29MAY252360PE,SELL,5.00,300,N/A,N/A,1875.00,EOD Square Off,-37321.50
2025-05-26 15:30:02,97905,HINDUNILVR29MAY252340PE,SELL,2.90,300,N/A,N/A,975.00,EOD Square Off,-36346.50
2025-05-26 15:30:02,105760,INFY29MAY251540PE,SELL,3.70,400,N/A,N/A,200.00,EOD Square Off,-36146.50
2025-05-29 09:30:09,105766,INFY29MAY251580CE,BUY,20.55,400,-Infinity,Infinity,N/A,BB_RSI_CE (OI:NEUTRAL, ML:NEUTRAL),0.00
2025-05-29 12:17:43,69892,BAJFINANCE29MAY259200PE,BUY,43.00,125,-Infinity,Infinity,N/A,BB_RSI_CE (OI:NEUTRAL, ML:NEUTRAL),0.00
2025-05-29 15:00:15,58570,BANKNIFTY29MAY2555500PE,BUY,209.15,30,307.13,13.19,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),0.00
2025-05-29 15:00:18,58572,BANKNIFTY29MAY2555600PE,BUY,301.10,30,403.51,96.29,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),0.00
2025-05-29 15:02:22,87326,HDFCBANK29MAY251920PE,BUY,0.10,550,5.10,-9.91,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),0.00
2025-05-29 15:02:27,87326,HDFCBANK29MAY251920PE,SELL,0.05,550,N/A,N/A,27.50,Support Hit (PE),27.50
2025-05-29 15:02:33,90477,ICICIBANK29MAY251460PE,BUY,3.55,700,6.31,-1.98,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),27.50
2025-05-29 15:02:37,90477,ICICIBANK29MAY251460PE,SELL,8.45,700,N/A,N/A,-3430.00,StopLoss Hit (PE) @6.31,-3402.50
2025-05-29 15:02:38,87326,HDFCBANK29MAY251920PE,BUY,0.20,550,5.20,-9.81,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),-3402.50
2025-05-29 15:02:43,87326,HDFCBANK29MAY251920PE,SELL,0.05,550,N/A,N/A,82.50,Support Hit (PE),-3320.00
