Timestamp,Open,High,Low,Close,Volume
2025-05-19 09:15:00,40,44.9,39.8,40.55,142
2025-05-19 09:30:00,40.75,41.25,36.95,40.1,158
2025-05-19 09:45:00,39,39.9,38.05,38.1,47
2025-05-19 10:00:00,38.3,40.8,37.6,40.25,80
2025-05-19 10:15:00,40.25,40.8,38.45,38.95,40
2025-05-19 10:30:00,38.65,39.5,37.55,38.2,57
2025-05-19 10:45:00,37.95,39.7,37.95,39.5,19
2025-05-19 11:00:00,39,40,39,39.4,35
2025-05-19 11:15:00,39.1,39.6,38.3,38.55,12
2025-05-19 11:30:00,38.75,39.3,37.6,39.1,25
2025-05-19 11:45:00,39,40,38.4,38.4,12
2025-05-19 12:00:00,38.65,38.65,37.2,37.25,44
2025-05-19 12:15:00,37,37.2,35.7,35.75,76
2025-05-19 12:30:00,35.75,36.5,35.3,36.45,25
2025-05-19 12:45:00,36.35,36.8,35.5,36.7,24
2025-05-19 13:00:00,36.9,37.05,35.3,35.35,54
2025-05-19 13:15:00,35.4,36.4,35,35.85,46
2025-05-19 13:30:00,35.95,35.95,35.05,35.05,34
2025-05-19 13:45:00,35.2,35.3,34.1,34.5,60
2025-05-19 14:00:00,34,34.1,32.45,32.8,192
2025-05-19 14:15:00,33.4,34,32.95,33.15,44
2025-05-19 14:30:00,33.05,34.8,32.45,34.05,110
2025-05-19 14:45:00,33.7,33.7,32.3,32.3,59
2025-05-19 15:00:00,32.8,34,32.3,33.7,83
2025-05-19 15:15:00,33.8,34.9,33.7,34.5,69
2025-05-20 09:15:00,31.65,35.85,29.35,30.3,326
2025-05-20 09:30:00,30,32.65,29.6,31.05,134
2025-05-20 09:45:00,30.95,31.3,29.4,30.6,74
2025-05-20 10:00:00,30.3,31.05,29.8,30.35,119
2025-05-20 10:15:00,30.2,30.2,27.75,28.3,1168
2025-05-20 10:30:00,28.4,30.85,27.8,30.25,208
2025-05-20 10:45:00,30.8,34,30.8,34,188
2025-05-20 11:00:00,34.4,34.75,32,32.8,92
