Timestamp,Open,High,Low,Close,Volume
2025-07-07T09:15:00+05:30,1112.7,1112.7,982.75,1029.1,825
2025-07-07T09:30:00+05:30,1026.95,1090.15,1026.95,1041.55,422
2025-07-07T09:45:00+05:30,1031,1053.35,1001.25,1023,541
2025-07-07T10:00:00+05:30,1022.9,1032.45,980,1011.35,646
2025-07-07T10:15:00+05:30,1011.25,1039.85,1008,1008.45,286
2025-07-07T10:30:00+05:30,1008.4,1031.6,1005.45,1027.85,146
2025-07-07T10:45:00+05:30,1026.7,1134.6,1026.7,1130,832
2025-07-07T11:00:00+05:30,1130,1164.15,1065.35,1074,350
2025-07-07T11:15:00+05:30,1073.95,1084.3,1044.05,1045.1,111
2025-07-07T11:30:00+05:30,1051.05,1068,1032,1066.55,126
2025-07-07T11:45:00+05:30,1061.1,1061.35,1025,1042.2,80
2025-07-07T12:00:00+05:30,1043.45,1043.45,1007.1,1008.95,169
2025-07-07T12:15:00+05:30,1005,1032,988.4,1024.95,429
2025-07-07T12:30:00+05:30,1031.8,1036.65,1014.75,1028,85
2025-07-07T12:45:00+05:30,1028.25,1028.25,963,966.35,243
2025-07-07T13:00:00+05:30,966,1031.2,952.9,1011.55,483
2025-07-07T13:15:00+05:30,1015.2,1023.35,1002.35,1004.9,129
2025-07-07T13:30:00+05:30,1002.65,1016,990.95,1009.15,58
2025-07-07T13:45:00+05:30,1010,1029.45,989.25,1019.55,289
2025-07-07T14:00:00+05:30,1022.5,1067,1022.4,1031.8,388
2025-07-07T14:15:00+05:30,1028.15,1042.95,1021.35,1026.2,61
2025-07-07T14:30:00+05:30,1030.65,1032,997.8,1008.3,126
2025-07-07T14:45:00+05:30,1002.3,1024.2,992.75,1021.8,265
2025-07-07T15:00:00+05:30,1021.1,1044.9,1021.1,1031.85,264
2025-07-07T15:15:00+05:30,1033.55,1039.25,1012.2,1012.2,629
2025-07-08T09:15:00+05:30,1043.95,1128.8,995.55,1082.55,852
2025-07-08T09:30:00+05:30,1096.55,1144.6,1095,1134.6,290
2025-07-08T09:45:00+05:30,1140,1193.5,1097.05,1101,419
2025-07-08T10:00:00+05:30,1092,1119,1080,1114,146
2025-07-08T10:15:00+05:30,1119,1151,1109.7,1144,148
2025-07-08T10:30:00+05:30,1144,1156.5,1117.1,1144.9,44
2025-07-08T10:45:00+05:30,1150,1152.05,1078.2,1123.75,203
2025-07-08T11:00:00+05:30,1117.85,1117.85,1081,1081,139
2025-07-08T11:15:00+05:30,1080,1107.75,1067.35,1105.95,176
2025-07-08T11:30:00+05:30,1112,1122.75,1080,1091.15,50
2025-07-08T11:45:00+05:30,1087.5,1100.2,1080,1100.2,84
2025-07-08T12:00:00+05:30,1092,1125,1090,1099.55,78
