Timestamp,Open,High,Low,Close,Volume
2025-06-05T09:15:00+05:30,17.05,18.6,14.5,18.55,540
2025-06-05T09:30:00+05:30,18.65,18.95,17.8,18.3,245
2025-06-05T09:45:00+05:30,18.25,18.25,17.1,17.1,112
2025-06-05T10:00:00+05:30,17.3,17.55,16.85,17,307
2025-06-05T10:15:00+05:30,17.1,17.2,16.45,16.45,72
2025-06-05T10:30:00+05:30,16.45,16.6,15.6,15.8,189
2025-06-05T10:45:00+05:30,15.8,16.1,15.45,15.85,135
2025-06-05T11:00:00+05:30,15.75,16.75,15.7,16.45,105
2025-06-05T11:15:00+05:30,16.45,16.5,16.05,16.1,45
2025-06-05T11:30:00+05:30,16.1,16.35,15.9,16.05,55
2025-06-05T11:45:00+05:30,16.1,16.8,15.7,16.8,41
2025-06-05T12:00:00+05:30,16.9,21,16.8,20.6,842
2025-06-05T12:15:00+05:30,20.7,21.65,19.25,19.7,593
2025-06-05T12:30:00+05:30,19.75,20.25,19.3,19.75,125
2025-06-05T12:45:00+05:30,19.6,19.6,18.75,19,157
2025-06-05T13:00:00+05:30,19,19.8,18.85,19,106
2025-06-05T13:15:00+05:30,18.9,19.3,18.55,18.75,147
2025-06-05T13:30:00+05:30,18.5,18.5,17.45,17.95,193
2025-06-05T13:45:00+05:30,17.85,18,16.6,16.8,102
2025-06-05T14:00:00+05:30,16.95,17,16.3,16.7,136
2025-06-05T14:15:00+05:30,16.55,17.25,16.25,17.2,159
2025-06-05T14:30:00+05:30,17.25,18.45,17,17.95,125
2025-06-05T14:45:00+05:30,18,18.05,17.4,17.55,65
2025-06-05T15:00:00+05:30,17.55,18.35,17.15,18.25,220
2025-06-05T15:15:00+05:30,18,18.5,17.95,18.1,163
2025-06-06T09:15:00+05:30,18.1,18.1,15.75,16.05,438
2025-06-06T09:30:00+05:30,16,16,14.4,14.6,340
2025-06-06T09:45:00+05:30,14.5,15.25,14.4,15,192
2025-06-06T10:00:00+05:30,15,15.95,14.1,14.85,441
2025-06-06T10:15:00+05:30,14.95,15.4,14.45,14.6,186
2025-06-06T10:30:00+05:30,14.45,15.2,14.35,15.1,330
2025-06-06T10:45:00+05:30,15.1,16,15,15.55,255
2025-06-06T11:00:00+05:30,15.65,16.4,15.55,16,282
2025-06-06T11:15:00+05:30,15.75,16.45,15.5,16,174
2025-06-06T11:30:00+05:30,16,17.2,15.9,17,239
2025-06-06T11:45:00+05:30,17,18.45,16.75,18,278
2025-06-06T12:00:00+05:30,18,18.15,17.05,17.05,401
2025-06-06T12:15:00+05:30,17,17.15,16.6,16.65,369
2025-06-06T12:30:00+05:30,16.65,16.85,16.25,16.85,183
2025-06-06T12:45:00+05:30,16.9,16.95,16.1,16.15,112
2025-06-06T13:00:00+05:30,16.05,16.6,15.75,15.9,66
2025-06-06T13:15:00+05:30,16,16.45,15.9,16.1,102
2025-06-06T13:30:00+05:30,16.15,16.5,15.85,15.95,119
2025-06-06T13:45:00+05:30,15.95,16.15,15.55,15.9,116
2025-06-06T14:00:00+05:30,15.9,16.05,15.9,16,53
2025-06-06T14:15:00+05:30,16,17.35,15.9,17.2,170
2025-06-06T14:30:00+05:30,17.2,17.35,16.55,16.8,109
2025-06-06T14:45:00+05:30,16.95,17.6,16.85,17.6,231
2025-06-06T15:00:00+05:30,17.55,18.1,17.25,17.85,337
2025-06-06T15:15:00+05:30,17.95,19.25,17.75,18.65,849
2025-06-09T09:15:00+05:30,22.75,26.95,21.8,24.85,3916
2025-06-09T09:30:00+05:30,24.8,25.1,22.9,24.45,1211
2025-06-09T09:45:00+05:30,24.5,24.65,23.15,23.15,447
2025-06-09T10:00:00+05:30,23.15,24.65,22.7,22.85,667
2025-06-09T10:15:00+05:30,22.85,23.2,22.3,23.2,325
2025-06-09T10:30:00+05:30,23,23.05,21.85,22.1,554
2025-06-09T10:45:00+05:30,22.1,22.65,21.65,22.05,302
2025-06-09T11:00:00+05:30,22.05,22.75,21,21,441
2025-06-09T11:15:00+05:30,21.2,21.5,20.45,21.3,312
2025-06-09T11:30:00+05:30,21.4,21.7,21.2,21.3,89
2025-06-09T11:45:00+05:30,21.25,21.7,20.95,21.5,130
2025-06-09T12:00:00+05:30,21.5,21.5,21,21.3,170
2025-06-09T12:15:00+05:30,21.4,21.6,21.1,21.2,94
2025-06-09T12:30:00+05:30,21.3,22.45,21,22.3,272
2025-06-09T12:45:00+05:30,22.15,22.3,21.7,21.7,138
2025-06-09T13:00:00+05:30,21.7,21.95,21.4,21.6,134
2025-06-09T13:15:00+05:30,21.8,21.9,21.25,21.5,112
2025-06-09T13:30:00+05:30,21.4,21.5,20.7,21.35,125
2025-06-09T13:45:00+05:30,21.4,21.5,21.1,21.25,92
2025-06-09T14:00:00+05:30,21.2,21.2,20.75,20.85,109
2025-06-09T14:15:00+05:30,20.8,21.6,20.8,21.1,107
2025-06-09T14:30:00+05:30,21.1,21.45,20.9,21.1,117
2025-06-09T14:45:00+05:30,21.25,21.25,20.25,20.45,175
2025-06-09T15:00:00+05:30,20.45,20.85,20.1,20.5,194
2025-06-09T15:15:00+05:30,20.5,20.75,20.1,20.3,399
2025-06-10T09:15:00+05:30,22.25,28.4,21.6,25.4,3863
2025-06-10T09:30:00+05:30,25.35,27.6,24,26.1,1611
2025-06-10T09:45:00+05:30,26.1,26.45,24.15,24.3,744
2025-06-10T10:00:00+05:30,24.25,26,24.25,25.85,596
2025-06-10T10:15:00+05:30,25.85,27.8,25.25,26.65,1517
2025-06-10T10:30:00+05:30,26.7,28.8,26.6,28.5,1152
2025-06-10T10:45:00+05:30,28.45,29,26.5,27,1249
2025-06-10T11:00:00+05:30,27,30.7,27,30.3,2246
2025-06-10T11:15:00+05:30,30.4,34.35,30.15,33.8,2986
2025-06-10T11:30:00+05:30,33.8,38.6,33,35.5,4588
2025-06-10T11:45:00+05:30,35.5,37.9,34.8,36.75,1476
2025-06-10T12:00:00+05:30,36.9,37.45,35.1,35.8,796
2025-06-10T12:15:00+05:30,35.8,36.75,34.35,35,738
2025-06-10T12:30:00+05:30,34.95,36.05,32.05,32.5,994
2025-06-10T12:45:00+05:30,32.35,32.55,29.25,30,1158
2025-06-10T13:00:00+05:30,30.2,31.15,29.7,29.7,543
2025-06-10T13:15:00+05:30,29.65,29.95,28.3,28.55,383
2025-06-10T13:30:00+05:30,28.55,29.25,27.8,28.8,529
2025-06-10T13:45:00+05:30,28.9,29.35,28.65,29.25,350
2025-06-10T14:00:00+05:30,29.35,30.15,29.1,29.75,360
2025-06-10T14:15:00+05:30,29.75,30.2,29.5,29.85,349
2025-06-10T14:30:00+05:30,29.9,31.15,29.65,30,602
2025-06-10T14:45:00+05:30,29.9,30.5,29.25,30.35,428
2025-06-10T15:00:00+05:30,30.4,30.4,27.5,28.25,942
2025-06-10T15:15:00+05:30,28.05,28.85,27.6,27.95,670
2025-06-11T09:15:00+05:30,29,31.85,27.25,30.05,3007
2025-06-11T09:30:00+05:30,30.15,31.5,29.1,31.3,1673
2025-06-11T09:45:00+05:30,31.45,32.7,28.8,30.5,1590
2025-06-11T10:00:00+05:30,30.5,30.55,28.65,29,779
2025-06-11T10:15:00+05:30,28.95,29.4,28.3,28.9,351
2025-06-11T10:30:00+05:30,28.75,29.35,28.35,29.35,292
2025-06-11T10:45:00+05:30,29.4,30.4,29.2,29.4,572
2025-06-11T11:00:00+05:30,29.4,31.6,29.2,31.1,665
2025-06-11T11:15:00+05:30,31.2,32.8,31.2,31.45,1153
2025-06-11T11:30:00+05:30,31.5,32.5,31.3,32.1,398
2025-06-11T11:45:00+05:30,32.05,34.1,31.6,33.35,1511
2025-06-11T12:00:00+05:30,33.45,34.9,33.05,33.95,934
2025-06-11T12:15:00+05:30,33.85,34.5,33.05,33.85,402
2025-06-11T12:30:00+05:30,33.8,37.35,32.35,37.05,1592
2025-06-11T12:45:00+05:30,36.95,44.15,35.85,41.9,3379
2025-06-11T13:00:00+05:30,41.75,47.3,41.75,44.5,1573
2025-06-11T13:15:00+05:30,44.2,45.3,42.25,42.35,744
2025-06-11T13:30:00+05:30,42.25,42.9,39.2,39.35,804
2025-06-11T13:45:00+05:30,39.2,39.9,35.9,39.5,836
2025-06-11T14:00:00+05:30,39.5,41.8,38.85,40,578
2025-06-11T14:15:00+05:30,40,45.45,40,45.25,860
2025-06-11T14:30:00+05:30,45.15,46.3,43.85,45.45,760
2025-06-11T14:45:00+05:30,45.7,47.2,44.35,46.45,708
2025-06-11T15:00:00+05:30,46.6,51.2,46,49.65,1592
2025-06-11T15:15:00+05:30,49.65,49.65,46.55,47.15,579
2025-06-12T09:15:00+05:30,39,40,30.8,31.9,2739
2025-06-12T09:30:00+05:30,31.65,35.5,30.7,31.35,2899
2025-06-12T09:45:00+05:30,31.5,31.75,29.1,30.65,1495
