Timestamp,Open,High,Low,Close,Volume
2025-06-05T09:15:00+05:30,32.85,41.05,31.6,40.85,3474
2025-06-05T09:30:00+05:30,40.85,43.5,39.55,43,1369
2025-06-05T09:45:00+05:30,43.15,43.2,41,42.3,473
2025-06-05T10:00:00+05:30,42.1,44.2,41.15,42,467
2025-06-05T10:15:00+05:30,42,43.5,41.15,43.5,180
2025-06-05T10:30:00+05:30,43.4,43.4,41.4,41.5,191
2025-06-05T10:45:00+05:30,41.45,42.3,41.15,42.15,106
2025-06-05T11:00:00+05:30,42.05,43.3,41.8,42.55,132
2025-06-05T11:15:00+05:30,42.7,44,42.35,43.55,184
2025-06-05T11:30:00+05:30,43.55,45.25,43.2,43.2,299
2025-06-05T11:45:00+05:30,43.05,43.2,42.45,43.2,75
2025-06-05T12:00:00+05:30,43.2,49.55,43.2,49.1,599
2025-06-05T12:15:00+05:30,49.6,51.2,46.65,47.6,326
2025-06-05T12:30:00+05:30,48.4,48.55,46.2,47.25,187
2025-06-05T12:45:00+05:30,47.35,48.2,45.85,46.8,387
2025-06-05T13:00:00+05:30,47.1,48.1,45.45,46.4,100
2025-06-05T13:15:00+05:30,46.5,46.7,45.35,45.8,55
2025-06-05T13:30:00+05:30,45.95,45.95,43.65,44.4,112
2025-06-05T13:45:00+05:30,44.65,45.4,44.15,44.35,39
2025-06-05T14:00:00+05:30,44.55,44.55,41.95,42.8,117
2025-06-05T14:15:00+05:30,42.45,43.85,42.2,43.3,86
2025-06-05T14:30:00+05:30,43.4,44.9,42.9,43.8,108
2025-06-05T14:45:00+05:30,44.15,45.75,43.25,43.45,114
2025-06-05T15:00:00+05:30,43.45,43.45,42,42.4,176
2025-06-05T15:15:00+05:30,42.25,42.9,41.55,42.3,225
2025-06-06T09:15:00+05:30,44.25,44.25,38.65,40,385
2025-06-06T09:30:00+05:30,40,40.65,38.05,38.65,222
2025-06-06T09:45:00+05:30,38.55,39.85,38.45,39.8,134
2025-06-06T10:00:00+05:30,39.25,44.25,38.15,43.45,476
2025-06-06T10:15:00+05:30,43.55,45.65,42.3,43.4,290
2025-06-06T10:30:00+05:30,43.4,45.3,42.15,45.25,202
2025-06-06T10:45:00+05:30,44.8,46.5,44.8,45.9,142
2025-06-06T11:00:00+05:30,46.2,47.05,44.6,45.1,249
2025-06-06T11:15:00+05:30,45.25,45.85,44.1,45.15,72
2025-06-06T11:30:00+05:30,45.2,46.8,44.7,46.4,57
2025-06-06T11:45:00+05:30,46.7,47.05,45.55,46.65,104
2025-06-06T12:00:00+05:30,46.4,46.7,43.8,44.15,78
2025-06-06T12:15:00+05:30,44.1,44.1,42.85,44,70
2025-06-06T12:30:00+05:30,44,44.25,42.35,42.7,40
2025-06-06T12:45:00+05:30,42.7,43.8,42.25,43.35,56
2025-06-06T13:00:00+05:30,43.35,43.9,42.8,42.85,29
2025-06-06T13:15:00+05:30,42.85,43.05,41.8,41.8,35
2025-06-06T13:30:00+05:30,41.8,42.45,40.85,41,98
2025-06-06T13:45:00+05:30,40.7,41.25,40.15,40.95,56
2025-06-06T14:00:00+05:30,40.9,41.6,39.65,39.8,98
2025-06-06T14:15:00+05:30,40.55,41.5,40.5,40.8,63
2025-06-06T14:30:00+05:30,40.9,40.95,40,40.35,59
