Timestamp,Open,High,Low,Close,Volume
2025-06-05T09:15:00+05:30,715.95,767.45,680,762.6,687
2025-06-05T09:30:00+05:30,766,796.5,753.05,793.8,345
2025-06-05T09:45:00+05:30,795.3,805,787.8,788,287
2025-06-05T10:00:00+05:30,788.75,796.75,766.25,771.9,167
2025-06-05T10:15:00+05:30,772,781.3,759.9,769,92
2025-06-05T10:30:00+05:30,765,768,758.2,765.3,86
2025-06-05T10:45:00+05:30,762.05,767.75,741.7,752,166
2025-06-05T11:00:00+05:30,751.95,762.9,750.4,761.45,249
2025-06-05T11:15:00+05:30,763.75,810,762.45,790,130
2025-06-05T11:30:00+05:30,783.05,784,775.75,776.85,33
2025-06-05T11:45:00+05:30,770.5,790,765,790,185
2025-06-05T12:00:00+05:30,794.3,928.85,791.75,915.65,292
2025-06-05T12:15:00+05:30,925,949.95,869.4,890,197
2025-06-05T12:30:00+05:30,892.75,904.95,871.75,890.85,167
2025-06-05T12:45:00+05:30,892.5,897.95,860,861.05,97
2025-06-05T13:00:00+05:30,867.05,889.95,843,847,112
2025-06-05T13:15:00+05:30,843.75,855,831.05,835,105
2025-06-05T13:30:00+05:30,831.45,837.75,784.55,801.15,129
2025-06-05T13:45:00+05:30,804,828.95,791.6,800.85,75
2025-06-05T14:00:00+05:30,801,805.95,764.25,786.3,153
2025-06-05T14:15:00+05:30,773.35,808.25,769.3,795,177
2025-06-05T14:30:00+05:30,796.7,823,785,814.2,239
2025-06-05T14:45:00+05:30,822.95,838,805,810.2,166
2025-06-05T15:00:00+05:30,810.05,812.35,795.05,800,193
2025-06-05T15:15:00+05:30,800.05,821.5,800,821.45,304
2025-06-06T09:15:00+05:30,790.05,794.2,751.75,751.75,471
2025-06-06T09:30:00+05:30,752.6,761.8,709.7,710,717
2025-06-06T09:45:00+05:30,708,743.25,708,737.75,334
2025-06-06T10:00:00+05:30,735,854.15,690,782,1506
2025-06-06T10:15:00+05:30,791.45,859,765,852.75,652
2025-06-06T10:30:00+05:30,855,965,853,949.4,481
2025-06-06T10:45:00+05:30,955.25,990.6,949.4,976.3,241
2025-06-06T11:00:00+05:30,980.55,1025,980.55,1004.05,508
2025-06-06T11:15:00+05:30,1015,1033.65,991.85,1005.05,214
2025-06-06T11:30:00+05:30,1005.05,1048.6,1005.05,1044,72
2025-06-06T11:45:00+05:30,1050,1077.55,1032.95,1071,133
2025-06-06T12:00:00+05:30,1074.85,1074.85,1033.9,1039.75,118
2025-06-06T12:15:00+05:30,1033.15,1040.3,1003,1017,70
2025-06-06T12:30:00+05:30,1017,1024.5,993.35,1010,405
2025-06-06T12:45:00+05:30,1013.85,1020.85,1005,1014,22
2025-06-06T13:00:00+05:30,1009.45,1020,996.05,996.55,112
2025-06-06T13:15:00+05:30,997.95,1020,992.5,1001.25,72
2025-06-06T13:30:00+05:30,998.8,1025,987.7,1004.95,150
2025-06-06T13:45:00+05:30,1024,1024,996,996,12
2025-06-06T14:00:00+05:30,1021.8,1021.8,1011,1011,8
2025-06-06T14:15:00+05:30,1016,1060,1016,1050.35,98
2025-06-06T14:30:00+05:30,1038.2,1038.65,1016.75,1025,50
2025-06-06T14:45:00+05:30,1022.2,1045.3,1022.2,1044,35
2025-06-06T15:00:00+05:30,1045,1047.7,1028.45,1035.8,88
2025-06-06T15:15:00+05:30,1038.65,1045.2,1023.7,1024.2,395
2025-06-09T09:15:00+05:30,1100.2,1144.4,1092.65,1092.65,342
2025-06-09T09:30:00+05:30,1085,1115,1081,1115,206
2025-06-09T09:45:00+05:30,1119.75,1124,1091,1100,167
2025-06-09T10:00:00+05:30,1104,1131.35,1093.45,1117,106
2025-06-09T10:15:00+05:30,1119,1135,1105,1127.75,153
2025-06-09T10:30:00+05:30,1123,1137.25,1115.45,1132.45,34
2025-06-09T10:45:00+05:30,1133,1142,1130,1130,93
2025-06-09T11:00:00+05:30,1133,1142.8,1120,1130,45
2025-06-09T11:15:00+05:30,1126.05,1126.05,1111,1111.05,22
2025-06-09T11:30:00+05:30,1116,1123.35,1107,1107,13
2025-06-09T11:45:00+05:30,1107,1107,1096.95,1106.7,21
2025-06-09T12:00:00+05:30,1103.45,1112.7,1103,1111.9,10
2025-06-09T12:15:00+05:30,1114.95,1114.95,1109.45,1111,16
2025-06-09T12:30:00+05:30,1119,1130,1116,1116,14
2025-06-09T12:45:00+05:30,1116,1116,1105,1112.45,20
2025-06-09T13:00:00+05:30,1110,1114.2,1110,1114.2,2
2025-06-09T13:15:00+05:30,1113,1121.8,1100,1105,30
2025-06-09T13:30:00+05:30,1105,1110,1105,1105,12
2025-06-09T13:45:00+05:30,1108,1115,1106.65,1114.15,8
2025-06-09T14:00:00+05:30,1108,1112.6,1095,1095,36
2025-06-09T14:15:00+05:30,1094,1106,1092,1106,8
2025-06-09T14:30:00+05:30,1110,1114,1105.7,1105.7,13
2025-06-09T14:45:00+05:30,1107,1111.55,1101.35,1109.4,180
2025-06-09T15:00:00+05:30,1103,1112,1102,1108,63
2025-06-09T15:15:00+05:30,1108,1116,1108,1112.65,65
2025-06-10T09:15:00+05:30,1141.05,1152.2,1090.05,1092.55,80
2025-06-10T09:30:00+05:30,1082.05,1132,1061,1108.95,79
2025-06-10T09:45:00+05:30,1110,1148,1110,1141,75
2025-06-10T10:00:00+05:30,1144,1164.9,1144,1164.9,46
2025-06-10T10:15:00+05:30,1154,1173.1,1140.8,1143.8,63
2025-06-10T10:30:00+05:30,1141.8,1156.55,1132.65,1155.7,51
2025-06-10T10:45:00+05:30,1150,1150,1111,1116,54
2025-06-10T11:00:00+05:30,1120,1129.4,1116,1129.4,28
2025-06-10T11:15:00+05:30,1130,1134,1120,1130,23
2025-06-10T11:30:00+05:30,1128.85,1143.25,1128.85,1143.25,8
2025-06-10T11:45:00+05:30,1143.65,1150,1143.65,1150,7
2025-06-10T12:00:00+05:30,1146.05,1155.2,1140,1140,44
2025-06-10T12:15:00+05:30,1138,1139.8,1126,1130,19
2025-06-10T12:30:00+05:30,1136,1140.75,1131,1140.75,13
2025-06-10T12:45:00+05:30,1138.1,1144.65,1138,1144.65,11
2025-06-10T13:00:00+05:30,1148.6,1149.35,1136,1136,11
2025-06-10T13:15:00+05:30,1133.8,1133.8,1126,1131.9,6
2025-06-10T13:30:00+05:30,1139.55,1139.55,1139.5,1139.5,2
2025-06-10T13:45:00+05:30,1131,1133,1131,1133,5
2025-06-10T14:00:00+05:30,1127.8,1131.9,1127.45,1127.45,20
2025-06-10T14:15:00+05:30,1122,1122,1114.4,1114.4,12
2025-06-10T14:30:00+05:30,1116.6,1122,1113,1113,8
2025-06-10T14:45:00+05:30,1112.45,1114.9,1096,1098,31
2025-06-10T15:00:00+05:30,1098,1101.55,1074.9,1088.4,69
2025-06-10T15:15:00+05:30,1089.6,1095.95,1080.6,1080.6,120
2025-06-11T09:15:00+05:30,1080.6,1122.1,1071.9,1117.1,72
2025-06-11T09:30:00+05:30,1117,1134.7,1109,1118.15,71
2025-06-11T09:45:00+05:30,1125.15,1134.95,1106,1134,55
2025-06-11T10:00:00+05:30,1134.95,1141,1129.2,1130,107
2025-06-11T10:15:00+05:30,1128.45,1142,1122.1,1126.1,92
2025-06-11T10:30:00+05:30,1126.45,1167.7,1121,1167.7,264
2025-06-11T10:45:00+05:30,1180,1188.55,1159,1169,171
2025-06-11T11:00:00+05:30,1168.3,1181,1161.1,1174.75,87
2025-06-11T11:15:00+05:30,1179.6,1207.6,1179.6,1187,100
2025-06-11T11:30:00+05:30,1187,1195,1187,1190,29
2025-06-11T11:45:00+05:30,1187.9,1215,1183.3,1205,63
2025-06-11T12:00:00+05:30,1210.1,1211.9,1200.15,1200.15,43
2025-06-11T12:15:00+05:30,1208,1225,1205.05,1206.35,63
2025-06-11T12:30:00+05:30,1210,1210,1182.95,1195.4,84
2025-06-11T12:45:00+05:30,1196.9,1217.65,1196.9,1217.65,25
2025-06-11T13:00:00+05:30,1214,1214,1200,1200.45,58
2025-06-11T13:15:00+05:30,1195.65,1202.55,1179.7,1179.7,78
2025-06-11T13:30:00+05:30,1175,1178,1170,1170,48
2025-06-11T13:45:00+05:30,1165,1165,1117,1148,176
2025-06-11T14:00:00+05:30,1134.6,1145.25,1121,1121,47
2025-06-11T14:15:00+05:30,1132,1154,1128.25,1141.05,232
2025-06-11T14:30:00+05:30,1141.05,1142.05,1139.55,1139.55,15
2025-06-11T14:45:00+05:30,1136.5,1150.9,1135.25,1144.6,27
2025-06-11T15:00:00+05:30,1144.05,1147.05,1137.85,1141.75,118
2025-06-11T15:15:00+05:30,1144.1,1145.65,1115.45,1124.85,160
2025-06-12T09:15:00+05:30,1100.05,1170.9,1100.05,1168.9,106
2025-06-12T09:30:00+05:30,1170.5,1191,1098.55,1101,196
2025-06-12T09:45:00+05:30,1107.45,1117.8,1071.6,1085,136
2025-06-12T10:00:00+05:30,1082.8,1095,1055,1090,33
2025-06-12T10:15:00+05:30,1075,1098.7,1072,1090.3,130
2025-06-12T10:30:00+05:30,1096,1104,1037.5,1037.5,59
2025-06-12T10:45:00+05:30,1039.9,1053.95,1037.55,1044.9,24
2025-06-12T11:00:00+05:30,1041.55,1041.55,1032.1,1036.05,30
2025-06-12T11:15:00+05:30,1032,1080.05,1029.6,1071.3,170
2025-06-12T11:30:00+05:30,1059.9,1064.65,1017,1029.5,116
2025-06-12T11:45:00+05:30,1035.15,1038.5,1016,1016,86
2025-06-12T12:00:00+05:30,1020,1029.25,1005,1027.75,90
2025-06-12T12:15:00+05:30,1021,1035,1020.05,1020.05,36
