"timestamp","open","high","low","close","volume"
"2025-07-23T09:15:00+05:30",24.4,25.15,23.55,24.55,22
"2025-07-23T09:30:00+05:30",24.35,24.35,23.5,23.8,23
"2025-07-23T09:45:00+05:30",23.65,23.85,23.4,23.5,13
"2025-07-23T10:00:00+05:30",23.45,23.45,23.4,23.4,4
"2025-07-23T10:15:00+05:30",23.45,24.05,23.1,23.1,7
"2025-07-23T10:45:00+05:30",23.2,23.35,22.55,23,11
"2025-07-23T11:00:00+05:30",22.9,23,22.5,22.65,8
"2025-07-23T11:15:00+05:30",22.65,22.65,22.65,22.65,1
"2025-07-23T11:30:00+05:30",22.25,22.25,22.2,22.2,2
"2025-07-23T11:45:00+05:30",22,22,21.35,21.35,8
"2025-07-23T12:00:00+05:30",21,21.45,21,21.2,11
"2025-07-23T12:15:00+05:30",21.05,21.05,20.75,20.8,8
"2025-07-23T12:30:00+05:30",20.95,21,20,20.15,45
"2025-07-23T12:45:00+05:30",20.3,20.45,20.3,20.45,6
"2025-07-23T13:00:00+05:30",20.4,20.4,20,20.35,11
"2025-07-23T13:15:00+05:30",20.3,20.3,20.15,20.15,10
"2025-07-23T13:30:00+05:30",19.9,19.9,19.2,19.2,18
"2025-07-23T13:45:00+05:30",19.1,19.25,19,19,17
"2025-07-23T14:00:00+05:30",19,19.6,18.75,19.05,16
"2025-07-23T14:15:00+05:30",19.2,20,19.05,20,38
"2025-07-23T14:30:00+05:30",19.8,19.8,19.5,19.5,8
"2025-07-23T14:45:00+05:30",19.9,20.15,19.9,20,15
"2025-07-23T15:00:00+05:30",19.8,20.2,19.65,19.65,18
"2025-07-23T15:15:00+05:30",19.7,19.7,19,19,36
"2025-07-24T09:15:00+05:30",19.05,20.65,18.55,20.65,35
"2025-07-24T09:30:00+05:30",20.65,21.3,20.4,20.55,15
"2025-07-24T09:45:00+05:30",20.25,20.6,20,20.45,66
"2025-07-24T10:00:00+05:30",20,20.35,20,20.2,8
"2025-07-24T10:15:00+05:30",19.95,20,19.3,19.4,34
